구분,고급휘발유,보통휘발유,자동차용경유,실내등유
2008년12월31일,1495.85,1288.10,1269.05,924.33
2009년01월01일,1512.02,1298.89,1275.89,913.80
2009년01월02일,1514.52,1299.86,1275.86,912.59
2009년01월03일,1512.10,1300.34,1276.27,910.55
2009년01월04일,1510.28,1300.39,1276.22,907.51
2009년01월05일,1511.30,1299.99,1275.70,908.97
2009년01월06일,1513.11,1300.79,1276.33,906.93
2009년01월07일,1514.52,1302.20,1277.18,906.60
2009년01월08일,1532.21,1309.06,1281.24,906.40
2009년01월09일,1536.94,1312.43,1283.18,907.16
2009년01월10일,1535.79,1315.46,1285.27,906.70
2009년01월11일,1536.21,1316.63,1286.02,903.95
2009년01월12일,1537.33,1317.75,1286.38,907.11
2009년01월13일,1536.77,1319.00,1287.37,906.15
2009년01월14일,1543.56,1322.43,1289.86,907.03
2009년01월15일,1563.16,1331.31,1298.12,917.23
2009년01월16일,1566.44,1338.27,1303.96,921.37
2009년01월17일,1574.17,1344.54,1309.16,921.35
2009년01월18일,1571.77,1346.96,1311.29,923.76
2009년01월19일,1571.48,1350.55,1313.66,924.71
2009년01월20일,1574.30,1356.22,1317.42,926.84
2009년01월21일,1577.51,1365.38,1321.99,927.01
2009년01월22일,1608.16,1384.36,1325.40,926.52
2009년01월23일,1620.03,1401.90,1330.12,929.07
2009년01월24일,1627.45,1415.74,1333.51,929.59
2009년01월25일,1625.46,1417.57,1335.08,926.73
2009년01월26일,1623.95,1419.96,1335.54,926.86
2009년01월27일,1624.17,1420.92,1335.73,927.31
2009년01월28일,1623.68,1423.30,1335.85,931.47
2009년01월29일,1644.93,1431.45,1333.16,928.16
2009년01월30일,1647.92,1437.68,1332.71,926.14
2009년01월31일,1649.83,1442.07,1332.55,924.94
2009년02월01일,1653.50,1444.57,1332.07,922.79
2009년02월02일,1655.91,1447.03,1331.64,925.62
2009년02월03일,1654.37,1449.44,1331.17,924.87
2009년02월04일,1661.46,1452.42,1331.02,928.13
2009년02월05일,1671.82,1458.61,1330.83,932.44
2009년02월06일,1672.57,1466.14,1330.71,935.31
2009년02월07일,1675.66,1470.41,1330.44,935.97
2009년02월08일,1676.05,1472.81,1330.28,933.59
